Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000fry3,7,"Sunday, March 24, 2013 11:43:18 UTC",51.5940,156.7059,4.4,174.70,37,"Kamchatka Peninsula, Russia"
nc,71959535,0,"Sunday, March 24, 2013 11:39:21 UTC",37.6435,-118.9262,1.0,9.20,13,"Long Valley area, California"
uw,60512366,1,"Sunday, March 24, 2013 11:39:04 UTC",42.6165,-122.4097,2.8,3.20,51,"Oregon"
ci,15313409,0,"Sunday, March 24, 2013 11:38:19 UTC",32.6627,-115.7950,1.4,11.90,22,"Southern California"
nn,00407021,1,"Sunday, March 24, 2013 11:26:30 UTC",37.0283,-117.1230,1.2,19.20, 7,"Nevada"
ci,15313393,0,"Sunday, March 24, 2013 11:12:18 UTC",32.6458,-115.7247,2.1,9.70,39,"Baja California, Mexico"
nc,71959525,0,"Sunday, March 24, 2013 11:02:03 UTC",37.6175,-118.8847,1.0,27.40, 9,"Long Valley area, California"
ak,10680258,1,"Sunday, March 24, 2013 11:01:12 UTC",63.0560,-151.5371,1.4,10.10, 4,"Central Alaska"
ak,10680254,1,"Sunday, March 24, 2013 10:55:37 UTC",63.6277,-147.5348,1.6,87.50,13,"Central Alaska"
ak,10680253,1,"Sunday, March 24, 2013 10:50:04 UTC",63.0711,-151.5862,1.8,11.00,11,"Central Alaska"
nn,00407019,1,"Sunday, March 24, 2013 10:34:04 UTC",39.6257,-120.0080,1.2,8.00,17,"Northern California"
nc,71959515,0,"Sunday, March 24, 2013 10:31:11 UTC",37.6408,-118.9285,1.3,8.40,18,"Long Valley area, California"
us,b000frxm,B,"Sunday, March 24, 2013 10:29:20 UTC",16.1510,-93.0710,4.1,169.40,36,"Chiapas, Mexico"
nc,71959510,0,"Sunday, March 24, 2013 10:18:06 UTC",36.0310,-120.6410,1.0,3.90, 9,"Central California"
us,b000frxj,5,"Sunday, March 24, 2013 10:12:03 UTC",38.8986,-107.3446,2.5,1.00,33,"Colorado"
us,b000frxi,5,"Sunday, March 24, 2013 10:04:13 UTC",50.7590,160.1250,4.3,9.60,88,"east of the Kuril Islands"
ak,10680237,1,"Sunday, March 24, 2013 09:36:24 UTC",61.0753,-151.5173,1.5,70.40,12,"Southern Alaska"
uw,60512336,2,"Sunday, March 24, 2013 09:18:52 UTC",42.6093,-122.4040,1.8,19.20,16,"Oregon"
ci,15313345,0,"Sunday, March 24, 2013 09:17:35 UTC",34.0043,-117.1757,1.3,2.40,47,"Greater Los Angeles area, California"
nc,71959440,1,"Sunday, March 24, 2013 09:13:34 UTC",37.6382,-118.9380,2.3,4.00,22,"Long Valley area, California"
nc,71959410,0,"Sunday, March 24, 2013 08:51:51 UTC",37.6385,-118.9278,1.2,7.70,14,"Long Valley area, California"
nc,71959400,0,"Sunday, March 24, 2013 08:50:00 UTC",37.6317,-118.9222,1.5,1.30, 7,"Long Valley area, California"
nc,71959395,0,"Sunday, March 24, 2013 08:49:47 UTC",37.6400,-118.9293,1.2,7.70,14,"Long Valley area, California"
nc,71959385,0,"Sunday, March 24, 2013 08:44:50 UTC",37.6403,-118.9287,1.5,8.30,23,"Long Valley area, California"
nc,71959365,1,"Sunday, March 24, 2013 08:36:45 UTC",37.6383,-118.9253,2.2,8.20,27,"Long Valley area, California"
nc,71959355,0,"Sunday, March 24, 2013 08:32:49 UTC",37.6388,-118.9242,1.7,7.70,21,"Long Valley area, California"
nc,71959340,0,"Sunday, March 24, 2013 08:30:58 UTC",37.6377,-118.9253,1.5,8.20,16,"Long Valley area, California"
nc,71959330,3,"Sunday, March 24, 2013 08:29:07 UTC",37.6403,-118.9322,3.1,5.80,28,"Long Valley area, California"
nc,71959320,0,"Sunday, March 24, 2013 08:26:03 UTC",37.6410,-118.9273,1.4,8.70,17,"Long Valley area, California"
nc,71959315,0,"Sunday, March 24, 2013 08:25:54 UTC",37.6375,-118.9313,1.2,7.60, 9,"Long Valley area, California"
ci,15313289,0,"Sunday, March 24, 2013 08:24:35 UTC",33.8093,-116.4682,1.0,17.30,19,"Southern California"
ci,15313281,0,"Sunday, March 24, 2013 08:23:29 UTC",33.7040,-116.8237,1.5,17.20,89,"Southern California"
us,b000frwy,7,"Sunday, March 24, 2013 08:13:44 UTC",-20.7770,173.4071,6.0,10.00,55,"Vanuatu region"
uw,60512326,2,"Sunday, March 24, 2013 08:00:10 UTC",42.6235,-122.4085,2.6,2.90,29,"Oregon"
ak,10680189,1,"Sunday, March 24, 2013 07:53:00 UTC",61.2878,-150.2084,2.0,47.10,14,"Southern Alaska"
nc,71959270,0,"Sunday, March 24, 2013 07:52:44 UTC",37.6405,-118.9277,1.2,8.90,14,"Long Valley area, California"
nn,00407008,1,"Sunday, March 24, 2013 07:51:46 UTC",38.0160,-118.0628,1.8,9.80,24,"Nevada"
us,b000frwr,5,"Sunday, March 24, 2013 07:30:24 UTC",-13.6846,-74.1113,4.5,56.50,16,"central Peru"
pr,13083001,0,"Sunday, March 24, 2013 07:25:39 UTC",17.9806,-65.3977,2.5,18.00, 4,"Puerto Rico region"
ci,15313249,0,"Sunday, March 24, 2013 07:03:14 UTC",34.2783,-116.6645,1.6,46.10,21,"Southern California"
ci,15313241,0,"Sunday, March 24, 2013 07:02:31 UTC",33.5143,-116.4643,1.2,12.80,67,"Southern California"
nc,71959255,1,"Sunday, March 24, 2013 06:44:49 UTC",38.8252,-122.8267,1.7,3.00,35,"Northern California"
ci,15313233,0,"Sunday, March 24, 2013 06:40:34 UTC",33.5738,-116.6887,1.5,4.20,18,"Southern California"
ci,15313217,0,"Sunday, March 24, 2013 06:28:17 UTC",34.2228,-117.0247,1.3,1.60,42,"Southern California"
ci,15313209,0,"Sunday, March 24, 2013 06:06:35 UTC",35.8362,-117.6737,1.7,1.80,11,"Central California"
pr,13083000,0,"Sunday, March 24, 2013 05:57:18 UTC",19.0678,-68.3833,3.3,71.00, 9,"Dominican Republic region"
ak,10680171,1,"Sunday, March 24, 2013 05:51:16 UTC",61.7758,-148.1028,1.8,28.10,21,"Southern Alaska"
ci,15313193,0,"Sunday, March 24, 2013 05:14:23 UTC",33.3282,-116.3317,1.4,12.40,26,"Southern California"
nc,71959235,0,"Sunday, March 24, 2013 05:13:00 UTC",38.8148,-122.8133,1.0,3.20,19,"Northern California"
ak,10680165,1,"Sunday, March 24, 2013 05:07:55 UTC",63.0860,-150.7224,1.4,110.30,10,"Central Alaska"
ci,15313185,0,"Sunday, March 24, 2013 05:03:32 UTC",33.5358,-116.9208,1.2,0.10,30,"Southern California"
ak,10680154,1,"Sunday, March 24, 2013 04:48:56 UTC",59.7671,-152.1100,2.7,59.50,30,"Southern Alaska"
ak,10680151,1,"Sunday, March 24, 2013 04:46:22 UTC",64.0259,-148.9076,1.7,0.10,21,"Central Alaska"
nc,71959220,0,"Sunday, March 24, 2013 04:28:54 UTC",38.8392,-122.7998,1.2,2.40,15,"Northern California"
us,b000frv8,7,"Sunday, March 24, 2013 04:18:34 UTC",50.7183,160.1546,6.1,9.70,98,"east of the Kuril Islands"
ak,10680122,1,"Sunday, March 24, 2013 04:05:33 UTC",62.3286,-149.6242,1.6,50.00,11,"Central Alaska"
us,b000frv4,6,"Sunday, March 24, 2013 03:47:32 UTC",33.4200,95.3958,4.5,29.80,23,"southern Qinghai, China"
ci,15313153,0,"Sunday, March 24, 2013 03:30:38 UTC",33.4995,-116.4633,1.4,20.00,20,"Southern California"
ak,10680110,1,"Sunday, March 24, 2013 03:09:45 UTC",62.1947,-145.7563,1.4,3.90, 7,"Central Alaska"
ci,15313129,0,"Sunday, March 24, 2013 03:08:16 UTC",33.4905,-116.4590,1.4,12.20,69,"Southern California"
ci,15313121,0,"Sunday, March 24, 2013 03:07:29 UTC",33.4407,-116.5448,1.1,1.90,26,"Southern California"
ci,15313113,0,"Sunday, March 24, 2013 03:06:43 UTC",33.4947,-116.4592,1.4,13.90,56,"Southern California"
us,b000fruf,4,"Sunday, March 24, 2013 02:44:31 UTC",-3.4923,144.7600,4.5,48.60,16,"near the north coast of New Guinea, Papua New Guinea"
ak,10680098,1,"Sunday, March 24, 2013 02:33:07 UTC",59.7232,-152.4306,1.6,63.10, 8,"Southern Alaska"
us,b000fru5,7,"Sunday, March 24, 2013 02:26:31 UTC",-6.8730,148.5032,4.8,59.10,35,"New Britain region, Papua New Guinea"
ak,10680096,1,"Sunday, March 24, 2013 02:26:08 UTC",60.4182,-152.3689,2.3,96.30,14,"Southern Alaska"
ci,15313081,0,"Sunday, March 24, 2013 02:23:35 UTC",33.4673,-116.8903,1.3,15.90,61,"Southern California"
nc,71959165,0,"Sunday, March 24, 2013 02:18:31 UTC",39.6255,-120.0033,1.8,5.50,16,"Northern California"
nc,71959155,1,"Sunday, March 24, 2013 01:55:52 UTC",38.7717,-122.7360,1.4,2.80,24,"Northern California"
ci,15313065,0,"Sunday, March 24, 2013 01:55:21 UTC",34.1120,-117.6450,1.3,14.80,19,"Greater Los Angeles area, California"
ak,10680082,1,"Sunday, March 24, 2013 01:50:51 UTC",63.8945,-148.7213,1.5,96.60,13,"Central Alaska"
ak,10680076,1,"Sunday, March 24, 2013 01:41:40 UTC",60.0675,-152.8978,3.4,109.90,59,"Southern Alaska"
us,b000frtb,7,"Sunday, March 24, 2013 01:35:57 UTC",-6.7664,148.3619,4.9,62.70,51,"New Britain region, Papua New Guinea"
ci,15313041,0,"Sunday, March 24, 2013 01:35:26 UTC",33.3702,-116.3507,1.3,10.80,17,"Southern California"
ak,10680070,1,"Sunday, March 24, 2013 01:30:02 UTC",61.4678,-140.6668,2.1,0.00,15,"Southern Yukon Territory, Canada"
nc,71959150,0,"Sunday, March 24, 2013 01:29:01 UTC",39.6238,-120.0145,2.1,0.00,10,"Northern California"
nc,71959145,0,"Sunday, March 24, 2013 01:28:56 UTC",39.6267,-120.0015,2.3,5.80,13,"Northern California"
ci,15313033,0,"Sunday, March 24, 2013 01:17:57 UTC",34.3930,-116.7047,1.1,9.90,14,"Southern California"
ak,10680058,1,"Sunday, March 24, 2013 01:05:46 UTC",63.2205,-145.0153,1.8,2.30,16,"Central Alaska"
ak,10680050,1,"Sunday, March 24, 2013 00:49:19 UTC",61.2323,-147.0043,2.9,121.60,36,"Southern Alaska"
nc,71959125,1,"Sunday, March 24, 2013 00:32:21 UTC",35.6477,-120.3122,1.9,11.50,41,"Central California"
nc,71959120,1,"Sunday, March 24, 2013 00:28:23 UTC",38.8252,-122.8272,1.2,3.10,29,"Northern California"
nc,71959115,0,"Sunday, March 24, 2013 00:20:47 UTC",39.6267,-120.0118,1.7,4.60,15,"Northern California"
pr,13082004,0,"Saturday, March 23, 2013 23:31:08 UTC",19.2191,-64.7761,3.1,52.00, 7,"Virgin Islands region"
ak,10680033,1,"Saturday, March 23, 2013 23:14:22 UTC",63.7231,-146.6654,1.6,13.70, 9,"Central Alaska"
us,b000frs6,5,"Saturday, March 23, 2013 22:37:34 UTC",-15.8609,-71.9161,4.7,12.30,35,"southern Peru"
ci,15313009,0,"Saturday, March 23, 2013 22:28:41 UTC",35.8667,-117.6990,1.8,2.20, 8,"Central California"
ak,10680024,1,"Saturday, March 23, 2013 22:20:06 UTC",61.3260,-151.8619,2.3,114.50,33,"Southern Alaska"
ci,15313001,0,"Saturday, March 23, 2013 22:11:29 UTC",33.3593,-116.5785,1.1,14.70,17,"Southern California"
nc,71959085,0,"Saturday, March 23, 2013 22:11:02 UTC",36.5810,-121.1862,1.6,7.60,11,"Central California"
ci,15312985,0,"Saturday, March 23, 2013 21:56:40 UTC",34.0732,-117.3005,1.5,14.70,27,"Greater Los Angeles area, California"
ci,15312953,0,"Saturday, March 23, 2013 20:46:19 UTC",32.9497,-117.4483,1.4,1.20,11,"Gulf of Santa Catalina, California"
ci,15312945,0,"Saturday, March 23, 2013 20:42:04 UTC",33.5190,-116.4407,1.0,11.20,24,"Southern California"
pr,13082003,0,"Saturday, March 23, 2013 20:27:48 UTC",18.4286,-64.7705,2.6,88.00, 6,"Virgin Islands region"
ak,10680006,1,"Saturday, March 23, 2013 20:20:53 UTC",60.6710,-151.8014,2.0,121.30,12,"Kenai Peninsula, Alaska"
uw,60512201,1,"Saturday, March 23, 2013 20:15:45 UTC",49.1913,-119.4980,2.6,0.00,15,"British Columbia, Canada"
ak,10679996,1,"Saturday, March 23, 2013 19:59:15 UTC",61.8615,-150.3801,1.9,40.20,20,"Southern Alaska"
nc,71959040,0,"Saturday, March 23, 2013 19:58:24 UTC",38.8387,-122.8268,1.0,1.80,16,"Northern California"
nc,71959030,0,"Saturday, March 23, 2013 19:56:46 UTC",38.8245,-122.8335,1.0,2.60,21,"Northern California"
nc,71959025,1,"Saturday, March 23, 2013 19:55:50 UTC",38.8355,-122.8247,2.7,2.30,42,"Northern California"
ci,15312921,0,"Saturday, March 23, 2013 19:40:13 UTC",33.2568,-115.7078,1.3,1.80,12,"Southern California"
ci,15312905,1,"Saturday, March 23, 2013 19:26:41 UTC",33.4843,-116.4507,2.1,6.60,72,"Southern California"
ci,15312889,0,"Saturday, March 23, 2013 19:18:27 UTC",33.6388,-116.2242,1.5,5.00,12,"Southern California"
pr,13082002,0,"Saturday, March 23, 2013 19:12:10 UTC",17.9780,-68.2945,2.6,65.00, 5,"Dominican Republic region"
nc,71959000,1,"Saturday, March 23, 2013 19:09:43 UTC",38.8008,-122.8113,1.4,3.10,28,"Northern California"
ak,10679978,1,"Saturday, March 23, 2013 18:31:31 UTC",63.2111,-150.4833,2.3,129.30,19,"Central Alaska"
ci,15312881,0,"Saturday, March 23, 2013 18:12:20 UTC",33.3027,-116.0238,1.4,0.20,17,"Southern California"
nc,71958980,0,"Saturday, March 23, 2013 18:09:48 UTC",39.4142,-120.1935,1.4,10.90,14,"Northern California"
nn,00406890,1,"Saturday, March 23, 2013 17:47:25 UTC",40.3742,-119.5492,1.8,0.40,16,"Nevada"
ci,15312873,0,"Saturday, March 23, 2013 17:45:00 UTC",33.0463,-116.4398,1.3,6.30,35,"Southern California"
nm,032313c,A,"Saturday, March 23, 2013 17:33:44 UTC",35.5041,-92.4325,1.6,3.90, 7,"Arkansas"
ci,15312857,0,"Saturday, March 23, 2013 17:26:37 UTC",35.6435,-118.0162,1.3,8.90,17,"Southern California"
ak,10679949,1,"Saturday, March 23, 2013 16:58:53 UTC",62.2957,-148.6332,1.9,20.80,22,"Central Alaska"
us,b000frlb,9,"Saturday, March 23, 2013 16:58:01 UTC",-16.8151,-173.4271,4.7,24.90,38,"Tonga"
nc,71958955,1,"Saturday, March 23, 2013 16:51:40 UTC",38.8155,-122.8128,1.7,3.30,36,"Northern California"
us,b000frky,6,"Saturday, March 23, 2013 16:45:55 UTC",-2.8199,139.2877,4.8,50.40,61,"near the north coast of Papua, Indonesia"
ak,10679942,1,"Saturday, March 23, 2013 16:35:23 UTC",63.3746,-151.4565,1.7,0.10,11,"Central Alaska"
ci,15312833,0,"Saturday, March 23, 2013 16:20:07 UTC",36.0247,-117.7757,1.4,1.50,22,"Central California"
nn,00406868,1,"Saturday, March 23, 2013 16:12:38 UTC",38.6975,-119.7437,1.9,7.00,13,"Northern California"
nc,71958930,0,"Saturday, March 23, 2013 15:49:45 UTC",38.7917,-122.7477,1.4,1.00,21,"Northern California"
nc,71958925,0,"Saturday, March 23, 2013 15:45:33 UTC",38.8623,-122.4703,2.1,7.30,16,"Northern California"
ak,10679920,1,"Saturday, March 23, 2013 15:45:01 UTC",59.8327,-152.0786,1.3,41.20, 7,"Southern Alaska"
nm,032313b,A,"Saturday, March 23, 2013 15:42:36 UTC",36.4793,-89.5415,1.6,9.00,27,"southeastern Missouri"
nc,71958915,0,"Saturday, March 23, 2013 15:31:10 UTC",38.8577,-122.4782,1.9,7.40,12,"Northern California"
ci,15312809,0,"Saturday, March 23, 2013 14:59:29 UTC",35.4928,-117.4618,1.5,16.60, 9,"Southern California"
nc,71958905,0,"Saturday, March 23, 2013 14:58:45 UTC",37.5232,-118.7130,1.4,8.80,22,"Central California"
nc,71958900,0,"Saturday, March 23, 2013 14:54:26 UTC",38.7880,-122.7447,1.4,1.10,24,"Northern California"
ci,15312777,0,"Saturday, March 23, 2013 14:38:47 UTC",32.6707,-116.0698,1.8,5.70,14,"Southern California"
ak,10679898,2,"Saturday, March 23, 2013 14:14:03 UTC",63.0527,-151.5478,1.3,13.90, 9,"Central Alaska"
ak,10680113,2,"Saturday, March 23, 2013 14:13:46 UTC",62.1080,-150.9643,1.5,70.80,11,"Central Alaska"
ak,10679880,2,"Saturday, March 23, 2013 13:25:36 UTC",59.6949,-153.4570,3.9,120.60,94,"Southern Alaska"
us,b000frir,3,"Saturday, March 23, 2013 13:14:02 UTC",-60.6823,-19.4900,5.0,10.00,17,"east of the South Sandwich Islands"
ak,10679878,1,"Saturday, March 23, 2013 13:07:29 UTC",62.5713,-151.0295,1.5,15.30, 6,"Central Alaska"
ci,15312761,0,"Saturday, March 23, 2013 13:02:24 UTC",36.0145,-117.8027,2.0,0.20,10,"Central California"
nc,71958890,1,"Saturday, March 23, 2013 12:50:53 UTC",38.8332,-122.7582,1.8,0.80,29,"Northern California"
ak,10679867,1,"Saturday, March 23, 2013 12:27:09 UTC",61.2571,-146.9222,2.5,35.40,14,"Southern Alaska"
ci,15312729,0,"Saturday, March 23, 2013 11:56:42 UTC",34.0605,-117.2990,1.7,14.70,116,"Greater Los Angeles area, California"
nn,00406836,1,"Saturday, March 23, 2013 11:38:30 UTC",39.6198,-120.0067,1.4,6.50,17,"Northern California"
nc,71958870,0,"Saturday, March 23, 2013 11:30:29 UTC",39.6305,-120.0050,1.4,5.70,10,"Northern California"
ak,10679859,1,"Saturday, March 23, 2013 11:22:23 UTC",60.2871,-141.4654,2.0,13.10, 8,"Southern Alaska"
nc,71958860,1,"Saturday, March 23, 2013 11:20:17 UTC",38.8168,-122.8267,1.2,2.90,24,"Northern California"
nn,00406834,1,"Saturday, March 23, 2013 11:18:59 UTC",39.6215,-120.0085,1.3,6.30,18,"Northern California"
nn,00406833,1,"Saturday, March 23, 2013 10:57:22 UTC",39.6225,-120.0072,1.0,6.50,16,"Northern California"
ci,15312721,0,"Saturday, March 23, 2013 10:55:02 UTC",33.9690,-117.4715,1.5,5.00,15,"Greater Los Angeles area, California"
ci,15312713,0,"Saturday, March 23, 2013 10:32:41 UTC",33.5063,-116.4545,1.1,8.20,40,"Southern California"
ak,10679842,1,"Saturday, March 23, 2013 10:15:23 UTC",65.0086,-149.4670,1.3,17.70, 9,"northern Alaska"
nc,71958825,1,"Saturday, March 23, 2013 09:58:56 UTC",38.8320,-122.8073,1.9,1.20,31,"Northern California"
nc,71958820,0,"Saturday, March 23, 2013 09:43:33 UTC",36.6200,-121.1610,1.5,8.00, 8,"Central California"
ci,15312705,0,"Saturday, March 23, 2013 09:42:52 UTC",33.6620,-116.7202,1.3,15.90,56,"Southern California"
ak,10679832,1,"Saturday, March 23, 2013 09:27:08 UTC",64.7525,-149.1273,2.2,19.60,18,"Central Alaska"
ak,10679826,1,"Saturday, March 23, 2013 08:59:52 UTC",61.1566,-150.3078,1.8,44.60,12,"Southern Alaska"
ak,10679827,1,"Saturday, March 23, 2013 08:55:31 UTC",62.1476,-145.4977,1.3,23.30, 5,"Central Alaska"
ak,10679820,1,"Saturday, March 23, 2013 08:51:01 UTC",61.1828,-140.3911,2.9,0.40,20,"Southern Yukon Territory, Canada"
ci,15312689,0,"Saturday, March 23, 2013 08:39:38 UTC",35.9437,-117.6653,1.3,1.50,18,"Central California"
pr,13082001,0,"Saturday, March 23, 2013 08:19:06 UTC",18.1054,-67.2494,2.1,23.00, 3,"Mona Passage, Puerto Rico"
ci,15312665,0,"Saturday, March 23, 2013 07:56:03 UTC",33.8853,-118.4027,2.3,11.40,69,"Greater Los Angeles area, California"
nn,00406828,1,"Saturday, March 23, 2013 07:06:18 UTC",36.9825,-114.3578,1.9,21.90, 9,"Nevada"
ci,15312657,0,"Saturday, March 23, 2013 06:54:20 UTC",33.4425,-116.4408,1.0,13.50,26,"Southern California"
nc,71958765,1,"Saturday, March 23, 2013 06:36:55 UTC",37.9887,-121.8543,2.4,18.30,30,"San Francisco Bay area, California"
nc,71958760,0,"Saturday, March 23, 2013 06:33:24 UTC",37.9707,-122.0260,1.2,9.70,10,"San Francisco Bay area, California"
nn,00406826,1,"Saturday, March 23, 2013 06:27:03 UTC",38.0128,-118.1260,1.7,15.90,16,"Nevada"
nc,71958755,0,"Saturday, March 23, 2013 06:18:21 UTC",37.7942,-122.0273,1.6,4.30,11,"San Francisco Bay area, California"
nn,00406824,1,"Saturday, March 23, 2013 05:59:38 UTC",39.6236,-120.0109,1.0,6.30,15,"Northern California"
ak,10679791,1,"Saturday, March 23, 2013 05:59:35 UTC",63.7905,-152.2902,1.5,4.70, 5,"Central Alaska"
us,b000frhf,5,"Saturday, March 23, 2013 05:56:03 UTC",-17.4904,-13.9042,4.7,10.00,29,"southern Mid-Atlantic Ridge"
nc,71958745,0,"Saturday, March 23, 2013 05:49:25 UTC",38.7515,-122.7147,1.0,1.40, 8,"Northern California"
us,b000frhc,7,"Saturday, March 23, 2013 05:28:31 UTC",-18.7324,-175.5134,4.5,183.40,46,"Tonga"
us,b000frh9,7,"Saturday, March 23, 2013 05:03:07 UTC",35.3625,-96.5077,2.9,5.10,43,"Oklahoma"
ak,10679773,1,"Saturday, March 23, 2013 04:41:32 UTC",63.3827,-146.4217,1.6,22.90, 6,"Central Alaska"
pr,13082000,0,"Saturday, March 23, 2013 04:31:06 UTC",18.8540,-64.8414,2.9,18.00, 6,"Virgin Islands region"
us,b000frh3,7,"Saturday, March 23, 2013 04:28:34 UTC",-10.9476,165.8148,4.9,20.10,43,"Santa Cruz Islands"
ci,15312505,0,"Saturday, March 23, 2013 04:25:38 UTC",33.2832,-116.7828,1.2,10.20,66,"Southern California"
ak,10679766,1,"Saturday, March 23, 2013 04:22:16 UTC",63.5107,-146.5247,1.9,0.00,27,"Central Alaska"
nc,71958735,0,"Saturday, March 23, 2013 04:18:49 UTC",38.7563,-122.7047,1.3,2.00,13,"Northern California"
ci,15312497,0,"Saturday, March 23, 2013 03:59:38 UTC",33.6623,-116.7620,1.0,13.20,43,"Southern California"
uw,60512071,3,"Saturday, March 23, 2013 03:58:29 UTC",46.7600,-122.2000,1.8,9.90,38,"Washington"
ci,15312489,0,"Saturday, March 23, 2013 03:53:24 UTC",33.5158,-116.4643,1.0,9.60,43,"Southern California"
hv,60481241,2,"Saturday, March 23, 2013 03:53:17 UTC",19.2590,-155.5288,2.1,7.80,39,"Island of Hawaii, Hawaii"
nc,71958725,0,"Saturday, March 23, 2013 03:51:57 UTC",39.6258,-120.0132,2.2,4.80,15,"Northern California"
ci,15312481,0,"Saturday, March 23, 2013 03:23:13 UTC",33.5018,-116.4688,1.1,8.70,52,"Southern California"
hv,60481236,4,"Saturday, March 23, 2013 03:18:56 UTC",19.4935,-155.3745,1.3,4.10,10,"Island of Hawaii, Hawaii"
nn,00406803,1,"Saturday, March 23, 2013 03:11:31 UTC",39.6222,-120.0109,1.2,7.00,16,"Northern California"
nm,032213a,A,"Saturday, March 23, 2013 03:03:51 UTC",36.2821,-89.5240,1.5,8.00, 9,"Tennessee"
us,2013ncad,5,"Saturday, March 23, 2013 02:57:39 UTC",42.8170,-1.8070,4.2,0.00,13,"Pyrenees"
nc,71958710,0,"Saturday, March 23, 2013 02:49:28 UTC",38.7782,-122.7543,1.0,2.10,17,"Northern California"
us,b000frgj,6,"Saturday, March 23, 2013 02:47:50 UTC",12.3570,143.8845,4.9,8.40,67,"Guam region"
nc,71958700,0,"Saturday, March 23, 2013 02:25:21 UTC",38.8403,-122.7747,1.1,2.40,16,"Northern California"
